

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |t90_error|flux_64 |flux_64_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_phtflux|pflx_comp_phtflux_error|
|GRB080723913|07 33 12.0|-19 42 00|   0.192|    0.345|  5.2574|       0.7021|   5.923087e+02|           3.362666e+02|           3.362666e+02|  -9.052268e-01|           3.613194e-01|           3.613194e-01|     5.406520e+00|           9.561933e-01|
|GRB080725541|23 39 12.0|+08 54 00|   0.960|    1.292|  6.2687|       0.7758|   4.292190e+02|           1.969146e+02|           1.969146e+02|  -8.621436e-01|           3.662552e-01|           3.662552e-01|     6.852386e+00|           1.099482e+00|
|GRB080802386|10 17 12.0|+40 42 00|   0.576|    0.091| 10.4115|       1.1162|   3.437138e+02|           8.184171e+01|           8.184171e+01|  -3.828296e-01|           3.243993e-01|           3.243993e-01|     1.074659e+01|           1.522778e+00|
|GRB080815917|16 03 36.0|-47 48 00|   0.832|    0.320|  6.2631|       0.9671|   6.565027e+02|           1.232405e+03|           1.232405e+03|  -1.203444e+00|           4.031497e-01|           4.031497e-01|     6.600304e+00|           1.413045e+00|
|GRB080831053|14 04 48.0|-51 42 00|   0.576|    1.168|  4.6597|       1.1050|   1.704839e+02|           3.233955e+01|           3.233955e+01|   9.994512e-01|           1.114133e+00|           1.114133e+00|     4.098442e+00|           8.319337e-01|
|GRB080905499|19 10 48.0|-18 54 00|   0.960|    0.345|  6.3191|       0.6754|   6.601680e+02|           1.813262e+02|           1.813262e+02|  -8.575507e-02|           4.052382e-01|           4.052382e-01|     6.461617e+00|           8.568343e-01|
|GRB080919790|14 38 00.0|+44 24 00|   0.512|    0.405|  4.5580|       1.1432|   1.684376e+02|           5.131709e+01|           5.131709e+01|  -7.187396e-01|           6.378617e-01|           6.378617e-01|     4.932922e+00|           9.933622e-01|
|GRB081012045|04 38 48.0|+04 30 00|   1.216|    1.748|  6.2702|       1.2291|   1.013532e+03|           2.888409e+02|           2.888409e+02|  -2.898853e-01|           3.418644e-01|           3.418644e-01|     7.080282e+00|           8.922152e-01|
|GRB081024245|01 51 36.0|+61 18 00|   0.832|    1.282|  6.8014|       1.3804|   6.012784e+02|           1.644155e+02|           1.644155e+02|  -5.370489e-02|           6.564850e-01|           6.564850e-01|     6.377586e+00|           1.247082e+00|
|GRB081024891|21 31 36.0|+21 12 00|   0.640|    0.264|  5.3643|       0.5639|   1.703050e+03|           7.169343e+02|           7.169343e+02|  -6.467223e-01|           2.325018e-01|           2.325018e-01|     5.778066e+00|           8.734129e-01|
|GRB081101491|06 23 12.0|-00 06 00|   0.128|    0.091|  7.9746|       0.8013|   1.982088e+02|           4.063728e+01|           4.063728e+01|  -4.127073e-01|           4.821750e-01|           4.821750e-01|     7.048840e+00|           1.075752e+00|
|GRB081102365|15 01 12.0|+22 00 00|   1.728|    0.231|  5.0564|       0.5692|   5.415581e+02|           2.187342e+02|           2.187342e+02|  -6.667256e-01|           4.154204e-01|           4.154204e-01|     5.768674e+00|           9.860009e-01|
|GRB081105614|14 23 12.0|+38 42 00|   1.280|    1.368|  7.9475|       1.0249|   3.962972e+02|           7.009598e+01|           7.009598e+01|   1.413748e+00|           9.014842e-01|           9.014842e-01|     7.010702e+00|           8.045595e-01|
