# life expectancy in Italy since 1872, from ourworldindata.org
Year,life_expectancy
1872,29.700001
1873,31.610001
1874,31.76
1875,31.33
1876,33.619999
1877,34.91
1878,34.34
1879,33.959999
1880,32.759998
1881,34.209999
1882,34.290001
1883,35.18
1884,36.630001
1885,36.869999
1886,35.139999
1887,36
1888,36.959999
1889,39.080002
1890,38.529999
1891,38.5
1892,38.880001
1893,39.830002
1894,39.950001
1895,39.639999
1896,40.720001
1897,43.310001
1898,42.34
1899,43.68
1900,41.669998
1901,43.540001
1902,42.990002
1903,43.110001
1904,44.389999
1905,43.900002
1906,45.049999
1907,45.41
1908,43.139999
1909,44.639999
1910,46.709999
1911,44.73
1912,48.93
1913,48.41
1914,49.849998
1915,42.490002
1916,39.560001
1917,38.139999
1918,25.809999
1919,42.330002
1920,45.470001
1921,49.189999
1922,49.950001
1923,51.41
1924,51.470001
1925,51.27
1926,50.919998
1927,52.540001
1928,52.639999
1929,52.25
1930,55.16
1931,54.75
1932,54.740002
1933,56.259998
1934,56.830002
1935,56.200001
1936,56.720001
1937,55.450001
1938,56.09
1939,57.599998
1940,56.950001
1941,54.650002
1942,52.52
1943,49.400002
1944,52.439999
1945,54.869999
1946,58.959999
1947,61.16
1948,63.439999
1949,64.110001
1950,65.567
1951,65.821
1952,66.312
1953,66.771
1954,67.197
1955,67.59
1956,67.951
1957,68.28
1958,68.582
1959,68.859
1960,69.117
1961,69.36
1962,69.596
1963,69.83
1964,70.067
1965,70.31
1966,70.558
1967,70.809
1968,71.062
1969,71.316
1970,71.571
1971,71.829
1972,72.088
1973,72.35
1974,72.613
1975,72.878
1976,73.142
1977,73.405
1978,73.668
1979,73.931
1980,74.198
1981,74.472
1982,74.756
1983,75.049
1984,75.348
1985,75.647
1986,75.937
1987,76.213
1988,76.472
1989,76.713
1990,76.942
1991,77.162
1992,77.383
1993,77.612
1994,77.852
1995,78.107
1996,78.378
1997,78.662
1998,78.955
1999,79.253
2000,79.554
2001,79.852
2002,80.145
2003,80.428
2004,80.698
2005,80.951
2006,81.185
2007,81.4
2008,81.598
2009,81.783
2010,81.958
2011,82.128
2012,82.298
2013,82.471
2014,82.648
2015,82.828
2016,83.008
2017,83.184
2018,83.352
2019,83.512
